university,thCode,enCode
มหาวิทยาลัยกาฬสินธุ์,มกส.,KSU
มหาวิทยาลัยนครพนม,มนพ.,NPU
มหาวิทยาลัยนราธิวาสราชนครินทร์,มนร.,PNU
มหาวิทยาลัยนเรศวร,มน.,NU
มหาวิทยาลัยมหาสารคาม,มมส.,MSU
มหาวิทยาลัยรามคำแหง,มร.,RU
มหาวิทยาลัยสุโขทัยธรรมาธิราช,มสธ.,STOU
มหาวิทยาลัยอุบลราชธานี,ม.อบ.,UBU
สถาบันบัณฑิตพัฒนบริหารศาสตร์,สพบ.,นิด้า (NIDA)
สถาบันเทคโนโลยีปทุมวัน,สปท.,PIT
มหาวิทยาลัยราชภัฏกาญจนบุรี,มร.กจ.,KRU
มหาวิทยาลัยราชภัฏกำแพงเพชร,มรภ.กพ.,KPRU
มหาวิทยาลัยราชภัฏจันทรเกษม,มจษ.,CRU
มหาวิทยาลัยราชภัฏชัยภูมิ,มชย.,CPRU
มหาวิทยาลัยราชภัฏเชียงราย,มร.ชร.,CRRU
มหาวิทยาลัยราชภัฏเชียงใหม่,มร.ชม.,CMRU
มหาวิทยาลัยราชภัฏเทพสตรี,มรท.,TRU
มหาวิทยาลัยราชภัฏธนบุรี,มรธ.,DRU
มหาวิทยาลัยราชภัฏนครปฐม,มรน.,NPRU
มหาวิทยาลัยราชภัฏนครราชสีมา,มร.นม.,NRRU
มหาวิทยาลัยราชภัฏนครศรีธรรมราช,มร.นศ.,NSTRU
มหาวิทยาลัยราชภัฏนครสวรรค์,มร.นว.,NSRU
มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,มบส.,BSRU
มหาวิทยาลัยราชภัฏบุรีรัมย์,มรภ.บร.,BRU
มหาวิทยาลัยราชภัฏพระนคร,มรภ.พระนคร,PNRU
มหาวิทยาลัยราชภัฏพระนครศรีอยุธยา,มร.อย.,ARU
มหาวิทยาลัยราชภัฏพิบูลสงคราม,มร.พส.,PSRU
มหาวิทยาลัยราชภัฏเพชรบุรี,มรภ.พบ.,PBRU
มหาวิทยาลัยราชภัฏเพชรบูรณ์,มร.พช.,PCRU
มหาวิทยาลัยราชภัฏภูเก็ต,มรภ.,PKRU
มหาวิทยาลัยราชภัฏมหาสารคาม,มรม.,RMU
มหาวิทยาลัยราชภัฏยะลา,มรย.,YRU
มหาวิทยาลัยราชภัฏร้อยเอ็ด,มรภ.รอ.,RERU
มหาวิทยาลัยราชภัฏราชนครินทร์,มรร.,RRU
มหาวิทยาลัยราชภัฏรำไพพรรณี,มร.รพ.,RBRU
มหาวิทยาลัยราชภัฏลำปาง,มร.ลป.,LPRU
มหาวิทยาลัยราชภัฏเลย,มรล.,LRU
มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์,มรว.,VRU
มหาวิทยาลัยราชภัฏศรีสะเกษ,มรภ.ศก.,SSKRU
มหาวิทยาลัยราชภัฏสกลนคร,มร.สน.,SNRU
มหาวิทยาลัยราชภัฏสงขลา,มรภ.สข.,SKRU
